Date,Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,Asset 6,Asset 7,Asset 8,Asset 9,Asset 10,Asset 11,Asset 12,Asset 13,Asset 14,Asset 15
1/4/05,76.5,39.7,26.5,73,131.5,107.5,12.35,14.6,44.5,15.75,4.875,6.05,45.5,12.9,7.45
1/5/05,74.25,38.2,25.8,71.25,130.5,105.5,12.1,14.15,44.1,15.4,4.875,5.8,44.8,12.5,7.35
1/6/05,74,38,25.6,71,130.5,105.5,12.1,14.1,44.1,15.55,4.9,5.75,43.4,12.35,7.25
1/7/05,72.5,37.4,25.85,69.5,129.5,104.5,11.9,13.95,43.8,15.4,4.95,5.6,44.5,12.45,7.25
1/10/05,72.5,36.9,25.8,69,128,105,11.85,14,44.1,15.65,4.925,5.8,45.2,12.25,7.25
1/11/05,71.75,37.1,25.6,68.5,128.5,104.5,11.7,13.9,43.9,15.65,4.875,5.8,45.5,12.25,7.25
1/12/05,72,36.8,25.35,69.25,128.5,105,11.9,13.95,44,15.95,4.775,5.85,46.2,12.15,7.2
1/13/05,73,37.1,25.5,70.25,128,105,12,14.35,44,15.8,4.8,5.8,46.1,12.15,7.15
1/14/05,72.5,36.4,25.55,70,127.5,105,11.9,14.25,43.9,15.65,4.725,5.7,45.6,12.15,7.2
1/17/05,73,36.4,26.15,70.75,128.5,105.5,12.05,14.3,44,15.85,4.7,5.75,45.5,12.75,7.55
1/18/05,72.5,36.3,25.7,71,128,105.5,11.95,14.3,44,15.8,4.675,5.75,45.4,12.95,7.55
1/19/05,73,36.3,25.85,71.75,129,105,12.1,14.35,44,15.8,4.7,6,44.9,13,7.35
1/20/05,72.5,35.6,25.35,71.25,127.5,104,11.85,14.15,43.7,15.55,4.7,6.3,44.5,12.45,7.25
1/21/05,71.5,35.1,24.95,70.25,127.5,103.5,11.8,14.05,43.8,15.5,4.625,6.25,45.6,12.4,7.25
1/24/05,69.5,34.8,24.3,69,127,103.5,11.85,13.95,43.6,15.5,4.475,6.1,46,12.75,7.25
1/25/05,71.75,36,24.55,70,128.5,104.5,12.1,14,43.5,15.5,4.5,6.25,46.4,12.8,7.2
1/26/05,71.25,36.5,24.8,70,128.5,105,12.1,13.85,44,15.8,4.475,6.2,46.7,13,7.3
1/27/05,71.5,36.3,24.85,70.25,129,105,11.95,13.85,43.9,15.75,4.35,6.25,45.7,12.7,7.25
1/28/05,71.5,36.5,25.05,70.75,129,105,12.1,13.9,44.2,15.95,4.4,6.25,45.1,12.75,7.4
1/31/05,71.5,37,25.2,71,129,105.5,12.25,14,44.3,16.2,4.4,6.35,45.1,12.85,7.45
2/1/05,71,36.1,25.2,69.75,128.5,105,11.8,13.85,44,15.9,4.3,6.15,44.6,12.75,7.25
2/2/05,70.5,35.5,25.05,69.5,128.5,105,12,13.95,44.1,15.85,4.3,6.1,45.1,12.85,7.25
2/3/05,70.25,35.3,25.05,69.25,128,105,12.05,13.85,43.9,15.7,4.325,6.3,45.8,12.85,7.25
2/4/05,70.5,35.8,25.3,69.25,128.5,104.5,12.15,13.8,43.9,15.7,4.45,6.55,46.1,12.8,7.3
2/7/05,71.75,36.4,25.75,70.25,130.5,106,12.3,13.95,44.3,16,4.5,6.55,46.2,12.9,7.35
2/8/05,72.25,36.4,25.85,70.25,131,106,12.35,14,44.3,16.1,4.475,6.55,45.5,13.15,7.35
2/9/05,72.25,36.4,25.85,70.25,131,106,12.35,14,44.3,16.1,4.475,6.55,45.5,13.15,7.35
2/10/05,72.25,36.4,25.85,70.25,131,106,12.35,14,44.3,16.1,4.475,6.55,45.5,13.15,7.35
2/11/05,72.25,36.4,25.85,70.25,131,106,12.35,14,44.3,16.1,4.475,6.55,45.5,13.15,7.35
2/14/05,73.75,36.6,26,71,132.5,107,12.5,14.25,44.5,16.15,4.525,6.7,45.1,13,7.4
2/15/05,73.5,36.3,26,71,132.5,106,12.45,14.35,44.5,16.25,4.525,6.55,45,13.1,7.5
2/16/05,73.5,36.3,26.1,71,133,106,12.4,14.3,44.7,16.35,4.575,6.55,46.5,13,7.5
2/17/05,73.25,36.3,25.55,70.25,133,105.5,12.4,14.35,44.5,16.15,4.55,6.45,46,13,7.45
2/18/05,74.75,36.7,25.6,71,133.5,106.5,12.45,14.45,44.7,16.4,4.55,6.65,46.1,13.25,7.7
2/21/05,74.75,36.8,26,71,133,106.5,12.5,14.5,44.8,16.5,4.55,6.95,47,13.2,7.65
2/22/05,74.5,36.4,26,70.75,133,107,12.45,14.55,44.5,16.45,4.575,6.95,46.6,13.1,7.5
2/23/05,73.25,36.1,25.8,69.75,132,106.5,12.3,14.25,44.4,16.3,4.55,6.8,47,13,7.3
2/24/05,73.75,36.6,25.95,70.25,133,106,12.35,14.35,44.3,16.4,4.525,6.8,55.25,13.25,7.35
2/25/05,74.25,36.6,26.35,70.5,133,107,12.45,14.45,44.6,16.6,4.55,7,55.75,13.5,7.3
2/28/05,74.25,36.6,26.55,70.5,133.5,106.5,12.4,14.3,44.7,16.35,4.6,6.95,55.5,13.35,7.35
3/1/05,73.75,36.3,26.35,70.25,130.5,106.5,12.35,14.35,44.6,16.25,4.6,7.05,55.75,13.2,7.4
3/2/05,71.75,35.7,26,69.25,128.5,106.5,12.3,14.2,44.5,16.15,4.5,7.05,55,13.15,7.3
3/3/05,71.25,35.2,26,69.5,129,106.5,12.4,14.05,44.3,16.15,4.5,7.25,54.75,13.45,7.4
3/4/05,70.5,34.8,25.5,68.5,128,105.5,12.35,13.9,44.2,16,4.425,7.1,53.5,13.1,7.25
3/7/05,70,34.7,25.6,67,128.5,105.5,12.4,13.95,44.4,16.1,4.45,7.1,54.75,13.6,7.35
3/8/05,70.75,35.2,26.15,67,129,106,12.45,13.95,44.6,16.15,4.475,7.1,55.25,13.7,7.25
3/9/05,71.25,35.4,26.35,68.5,128.5,107,12.6,14.2,44.8,16.1,4.4,6.95,56.5,13.7,7.25
3/10/05,70.75,35,25.85,67.75,128.5,107,12.5,14.25,44.8,15.95,4.325,6.8,56.75,13.7,7.15
3/11/05,71,35,25.95,68,128,107,12.5,14.45,44.7,16.05,4.375,6.8,55.75,14,7.15
3/14/05,70.75,35,25.75,68,128.5,105,12.45,14.4,44.6,15.95,4.4,6.5,55.25,14.05,7.15
3/15/05,70.25,34.9,25.4,67,128,105,12.4,14.3,44.6,15.85,4.35,6.3,54,13.9,7.15
3/16/05,71,35.1,25.8,67.5,126,105,12.55,15,44.5,15.95,4.35,6.4,54.75,13.85,7.2
3/17/05,71.5,35,25.65,67.5,126,104.5,12.55,14.9,44.5,15.75,4.35,6.35,55.25,13.7,7.15
3/18/05,71.5,34.8,26,67.5,126,104.5,12.5,14.9,44.5,15.75,4.325,6.35,56,13.7,7.1
3/21/05,71.5,35.1,25.95,68,125.5,105,12.3,14.75,44.6,15.85,4.325,6.3,56.25,13.8,7.05
3/22/05,70.75,35.4,25.6,67.75,125.5,104,12.3,14.65,44.7,15.8,4.35,6.3,56.5,13.8,7
3/23/05,69.75,34.8,25.2,66.75,124,104,12.05,14.6,44.5,15.65,4.275,6.2,53.75,14.1,6.85
3/24/05,69.25,34.6,25,66.75,124,104,12.05,14.55,44.4,15.65,4.275,6.25,53,14.1,7
3/25/05,69.25,34.6,25,66.75,124,104,12.05,14.55,44.4,15.65,4.275,6.25,53,14.1,7
3/28/05,69.25,34.6,25,66.75,124,104,12.05,14.55,44.4,15.65,4.275,6.25,53,14.1,7
3/29/05,68.25,34.6,24.5,65.75,122.5,103,11.95,14.55,44.1,15.35,4.2,6,52,13.9,6.95
3/30/05,68.5,34.4,24.3,66,123,103,11.8,14.6,44.1,15.25,4.125,6,52.5,13.95,7.05
3/31/05,69.25,34.7,24.65,66.25,124,103.5,12,14.7,44.4,15.35,4.375,6.05,53.25,14.2,7.05
4/1/05,69.25,34.7,24.85,66.75,123.5,103.5,11.95,14.5,44.4,15.45,4.525,6,54.5,14.3,7
4/4/05,70,34.6,24.6,67.75,123,103.5,12,14.45,44.4,15.45,4.5,5.95,55.75,14.85,7.05
4/5/05,70,34.6,24.6,67.75,123,103.5,12,14.45,44.4,15.45,4.5,5.95,55.75,14.85,7.05
4/6/05,70.25,34.2,24.45,68.5,123,103,12.15,14.5,44.2,15.4,4.45,6.25,56.25,14.5,7
4/7/05,70.5,34.2,24.65,68.5,123.5,103.5,12.1,14.65,44.3,15.55,4.55,6.3,56.25,14.65,7.05
4/8/05,71.25,34.3,25.1,68.75,123.5,104,12.3,14.75,44.4,15.65,4.525,6.25,56,14.55,7.25
4/11/05,71.25,34.2,25,68.75,124,104,12.45,14.75,44.1,15.6,4.475,6.35,55.5,14.45,7.1
4/12/05,71,34.3,25.05,68.75,124,104,12.3,14.75,44.2,15.65,4.475,6.3,55.75,14.45,7.1
4/13/05,72,34.9,25.2,69.25,125,104.5,12.35,14.75,44.4,15.7,4.6,6.45,56,14.55,7.2
4/14/05,72.5,34.6,25.2,69.75,124.5,104.5,12.35,14.7,44.4,15.6,4.575,6.4,55.75,14.55,7.2
4/15/05,72,34.3,25.1,68.75,124,103.5,12.2,14.6,43.3,15.45,4.55,6.4,54.75,14.4,7.1
4/18/05,70.5,33.6,24.5,67.25,122.5,102.5,11.9,14.4,42.8,15.05,4.4,6.1,53.75,13.8,6.9
4/19/05,70.75,34.1,24.6,67.5,123,102.5,12,14.5,43.2,15.2,4.375,6.15,55,13.9,6.95
4/20/05,70.75,34.5,24.8,67.5,123.5,103,12.1,14.65,43.2,15.2,4.45,6.15,56,14.05,7
4/21/05,71,34.6,25.05,68,124,103,12.25,14.7,43.2,15.5,4.5,6.15,56.75,14.45,7
4/22/05,72,35.1,25.25,68.75,124,104,12.3,14.7,43.6,15.45,4.5,6.2,57.5,14.5,7.05
4/25/05,72.25,35.2,25.25,69.25,124.5,104.5,12.35,14.75,43.6,15.5,4.55,6.2,57.75,14.5,7
4/26/05,73,36,25.4,69.75,125,106,12.45,14.75,44,15.7,4.6,6.3,58.75,14.9,7
4/27/05,73.25,36,25.4,69.75,125,106,12.4,14.65,43.9,15.65,4.55,6.25,58.75,14.9,7
4/28/05,73.25,36.1,25.85,69.75,125,106.5,12.45,14.8,44.2,15.85,4.625,6.35,57.75,15.15,6.9
4/29/05,73.5,36.2,25.95,69.5,125,106.5,12.4,14.85,44.2,15.95,4.6,6.3,58,14.9,6.95
5/2/05,73.5,36.2,25.95,69.5,125,106.5,12.4,14.85,44.2,15.95,4.6,6.3,58,14.9,6.95
5/3/05,73.25,36.4,25.9,69.75,124.5,106,12.4,14.85,44.3,16.05,4.575,6.3,57.25,14.75,6.9
5/4/05,73.5,36.4,26,70,126,105.5,12.5,14.5,44.5,16.05,4.65,6.35,57.75,14.95,7
5/5/05,73.75,36.5,26.35,70.5,126.5,106.5,12.75,14.5,44.6,16.25,4.725,6.35,57.75,15.2,7.05
5/6/05,74,36.2,26.25,70.25,126.5,106,12.7,14.4,44.6,16.05,4.8,6.3,58,14.9,7
5/9/05,74.5,36.2,26,70.5,126.5,106,12.9,14.45,44.6,16.15,4.825,6.35,59.25,15,7.05
5/10/05,72.75,36,25.85,69,126,106,13.15,14.4,44.5,16.3,4.75,6.3,58.25,14.85,7.15
5/11/05,71.75,35.8,25.65,68.25,126,105,13.15,14.35,44.5,16.25,4.75,6.2,57.5,14.75,7.15
5/12/05,72.25,36,25.85,68.75,126,105,13.45,14.4,44.6,16.3,4.775,6.25,57.75,14.85,7.2
5/13/05,71.75,35.9,25.85,68,125,105,13.35,14.5,44.6,16.15,4.775,6.2,56.5,14.85,7.25
5/16/05,71.75,35.9,25.85,68,125,105,13.35,14.5,44.6,16.15,4.775,6.2,56.5,14.85,7.25
5/17/05,71,35.2,25.3,67.25,124.5,104.5,13.25,14.45,44.3,15.85,4.625,6.05,55.25,14.45,7.15
5/18/05,70.5,35.2,25.25,67.25,123.5,104.5,13.2,14.4,44.4,15.7,4.7,6,55.5,14.35,7.25
5/19/05,70.25,35.1,25.45,67.25,124,105,13.2,14.45,44.6,15.8,4.725,6.1,56,14.2,7.35
5/20/05,70,34.8,25.45,67,124,105.5,13.15,14.45,44.6,15.75,4.725,6.1,56,14,7.45
5/23/05,70.25,34.5,25.55,67,124,105.5,13.25,14.35,44.5,15.85,4.65,6.15,55.25,14,7.45
5/24/05,70,34.7,25.65,67.25,124,105.5,13.35,14.25,44.6,15.9,4.675,6.15,56.25,14,7.45
5/25/05,69.25,34.2,25.1,66.5,123,105,13.05,14.05,44.2,15.7,4.625,6,56.25,13.95,7.3
5/26/05,69.25,34.1,24.85,66.5,123.5,104,13.25,14.1,44.3,15.6,4.65,6,56.25,14.1,7.2
5/27/05,70,34.6,25.15,67,123.5,104.5,13.85,14.25,44.7,15.65,4.7,6.15,57.75,14.6,7.3
5/30/05,71.25,35.4,25.25,67.75,124.5,105,13.95,14.3,44.7,15.8,4.725,6.2,57,14.5,7.35
5/31/05,71,35.5,25.45,67.75,124,104.5,14.35,14.1,44.5,15.65,4.75,6.25,55.75,14.9,7.3
6/1/05,71.75,35.7,25.35,69,124,104,14.2,14.1,44.2,15.7,4.725,6.2,55,14.55,7.4
6/2/05,71,35.9,25.5,68.5,124,104,13.95,14,44.2,15.8,4.775,6.15,53.25,14.55,7.3
6/3/05,71.25,35.8,25.45,68.75,124,104.5,13.95,14,44.2,15.75,4.8,6.1,53,14.5,7.3
6/6/05,71.5,35.8,25.65,69,124,105,14.1,14.1,44.4,15.8,4.825,6.1,53.25,14.4,7.3
6/7/05,71.25,35.3,25.3,69.25,124,105,14.05,14.05,44.3,15.7,4.8,6.05,53.75,14.6,7.25
6/8/05,72,35.5,25.35,69.5,124,104.5,14.1,14.1,44.5,15.75,4.8,6.2,54.5,14.6,7.2
6/9/05,71.75,35.4,25.2,69,124.5,105.5,14.5,14.05,44.4,15.8,4.8,6.25,54.75,14.8,7.3
6/10/05,72,35.4,25.1,69.25,125,105.5,14.4,14.05,44.6,15.85,4.8,6.3,54.5,14.75,7.35
6/13/05,73,35.5,25.15,69.75,125,105.5,14.45,14.05,44.5,15.8,4.8,6.35,53.75,14.65,7.4
6/14/05,73,35.2,25.4,69.75,124,105,14.25,13.95,44.5,15.9,4.75,6.35,52.5,14.75,7.05
6/15/05,72.5,35.3,25.3,69.75,124.5,105.5,14.2,14.15,44.6,15.85,4.775,6.35,50,14.65,7.1
6/16/05,72,34.9,25.1,69,124,105,14.15,14.1,44.5,15.75,4.75,6.2,51.25,14.55,7
6/17/05,72.75,35.5,25.1,69.25,124.5,105,14.15,14.15,44.7,15.85,4.8,6.35,52.75,14.85,7.1
6/20/05,73.25,35.4,24.95,69.25,125,105.5,14.1,14.1,44.5,15.95,4.775,6.3,53.25,14.8,7.1
6/21/05,73.75,35.5,25.15,69.75,125,105.5,14.4,14.1,44.6,15.9,4.75,6.35,53.5,15,7.2
6/22/05,74.75,35.8,25.3,70.25,126,106.5,14.6,14.25,44.9,16,4.825,6.6,54,15.55,7.2
6/23/05,75,36.5,25.8,70.5,127,106.5,14.45,14.3,44.7,15.75,4.8,6.55,54.25,15.8,7.15
6/24/05,75.75,37,26.2,70.75,127,106.5,14.6,14.25,44.7,15.85,4.8,6.55,54.25,15.85,7.15
6/27/05,76.5,36.9,26.1,70.5,126,106,14.5,14.2,44.6,15.75,4.8,6.5,54.75,15.55,7.15
6/28/05,76.25,37.1,26.3,71,127,106,14.6,14.15,44.7,15.9,4.8,6.5,55.25,15.4,7.2
6/29/05,75.75,37.3,27.1,70.5,126.5,106.5,14.65,14.2,44.6,15.85,4.875,6.5,56,15.65,7.2
6/30/05,75.75,37.2,27.3,70.25,125,106,15,14.15,44.6,15.8,4.85,6.55,56.25,16.15,7.15
